##n,orderinfo,name,comment,z,x,y, pixmax,intensity,sdev,volsize,mass,,,, color_r,color_g,color_b
0, , ,, 46.000,294.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1332.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,825.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,524.000,104.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1135.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1158.000,56.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1232.000,51.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,459.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,350.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1361.000,76.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1324.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1294.000,84.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1404.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1460.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1005.000,105.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1091.000,111.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1094.000,34.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1249.000,43.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,865.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,962.000,53.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1176.000,52.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1398.000,50.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,277.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,258.000,70.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1248.000,71.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1227.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1309.000,87.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,387.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,608.000,104.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1054.000,109.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1167.000,40.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1323.000,49.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1023.000,58.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1308.000,72.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1133.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1075.000,89.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1183.000,82.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,262.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1199.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,954.000,105.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,663.000,106.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,901.000,108.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1191.000,40.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1379.000,41.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1221.000,42.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1086.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1242.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1352.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1188.000,65.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,310.000,80.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,798.000,104.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1296.000,38.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1332.000,43.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,1414.000,43.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,989.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,916.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
